class_id,class_name,support_per_seed,error_count_seed42,error_rate_percent_seed42,error_count_seed123,error_rate_percent_seed123,error_count_seed2026,error_rate_percent_seed2026,error_count_mean,error_count_sample_std,error_rate_percent_mean,error_rate_percent_sample_std,recall_percent_mean,common_error_count_all_seeds,common_error_rate_percent,unanimous_wrong_count,unanimous_wrong_rate_percent
0,Center,644,56,8.69565217,56,8.69565217,51,7.91925466,54.33333333,2.88675135,8.43685300,0.44825331,91.56314700,46,7.14285714,45,6.98757764
1,Donut,83,7,8.43373494,11,13.25301205,10,12.04819277,9.33333333,2.08166600,11.24497992,2.50803132,88.75502008,7,8.43373494,7,8.43373494
2,Edge-Loc,778,121,15.55269923,122,15.68123393,136,17.48071979,126.33333333,8.38649708,16.23821765,1.07795592,83.76178235,97,12.46786632,92,11.82519280
3,Edge-Ring,1452,21,1.44628099,17,1.17079890,18,1.23966942,18.66666667,2.08166600,1.28558310,0.14336543,98.71441690,11,0.75757576,10,0.68870523
4,Loc,539,140,25.97402597,147,27.27272727,144,26.71614100,143.66666667,3.51188458,26.65429808,0.65155558,73.34570192,121,22.44897959,115,21.33580705
5,Near-full,21,1,4.76190476,1,4.76190476,1,4.76190476,1.00000000,0.00000000,4.76190476,0.00000000,95.23809524,0,0.00000000,0,0.00000000
6,Random,130,10,7.69230769,10,7.69230769,9,6.92307692,9.66666667,0.57735027,7.43589744,0.44411559,92.56410256,8,6.15384615,8,6.15384615
7,Scratch,179,35,19.55307263,42,23.46368715,38,21.22905028,38.33333333,3.51188458,21.41527002,1.96194670,78.58472998,29,16.20111732,23,12.84916201
8,none,22117,118,0.53352625,105,0.47474793,103,0.46570511,108.66666667,8.14452782,0.49132643,0.03682474,99.50867357,62,0.28032735,59,0.26676312
