method,protocol,accuracy_mean,accuracy_sample_std,macro_f1_mean,macro_f1_sample_std,balanced_accuracy_mean,balanced_accuracy_sample_std,delta_accuracy_pp_vs_highres,delta_macro_f1_pp_vs_highres,delta_balanced_accuracy_pp_vs_highres
HighRes ShuffleNetV2 ordinary CE,"WM-811K nine-class; 172950 labeled maps; fixed lot-disjoint split; seeds 42/123/2026",0.9803415179,0.0000385460,0.9020287208,0.0019651040,0.8911507440,0.0055138124,0.0000,0.0000,0.0000
Kang and Kang stacking adapted reproduction,"WM-811K nine-class; 172950 labeled maps; fixed lot-disjoint split; two-fold lot-grouped OOF; seeds 42/123/2026",0.9784270645,0.0014069746,0.8857383616,0.0127652857,0.8709877700,0.0187458943,-0.1914,-1.6290,-2.0163
