model_id,model,seed,class_id,class_name,precision,recall,f1_score,support
standard_shufflenet_v2,Standard ShuffleNetV2,123,7,Scratch,0.4411764705882353,0.16759776536312848,0.242914979757085,179
standard_shufflenet_v2,Standard ShuffleNetV2,123,8,none,0.9774141917126089,0.9939865262015644,0.985630702324643,22117
standard_shufflenet_v2,Standard ShuffleNetV2,2026,0,Center,0.9449081803005008,0.8788819875776398,0.910699919549477,644
standard_shufflenet_v2,Standard ShuffleNetV2,2026,1,Donut,0.797752808988764,0.8554216867469879,0.8255813953488372,83
standard_shufflenet_v2,Standard ShuffleNetV2,2026,2,Edge-Loc,0.8330827067669173,0.712082262210797,0.7678447678447679,778
standard_shufflenet_v2,Standard ShuffleNetV2,2026,3,Edge-Ring,0.9846903270702854,0.9745179063360881,0.9795777085496712,1452
standard_shufflenet_v2,Standard ShuffleNetV2,2026,4,Loc,0.7662337662337663,0.6567717996289425,0.7072927072927073,539
standard_shufflenet_v2,Standard ShuffleNetV2,2026,5,Near-full,0.9130434782608695,1.0,0.9545454545454546,21
standard_shufflenet_v2,Standard ShuffleNetV2,2026,6,Random,0.8828125,0.8692307692307693,0.875968992248062,130
standard_shufflenet_v2,Standard ShuffleNetV2,2026,7,Scratch,0.5192307692307693,0.15083798882681565,0.23376623376623376,179
standard_shufflenet_v2,Standard ShuffleNetV2,2026,8,none,0.9776769832799715,0.9940769543789845,0.9858087658334267,22117
resnet18,ResNet18,42,0,Center,0.9609120521172638,0.9161490683229814,0.9379968203497615,644
resnet18,ResNet18,42,1,Donut,0.8444444444444444,0.9156626506024096,0.8786127167630058,83
resnet18,ResNet18,42,2,Edge-Loc,0.8686730506155951,0.8161953727506427,0.8416169648774022,778
resnet18,ResNet18,42,3,Edge-Ring,0.9801777170198223,0.987603305785124,0.9838765008576329,1452
resnet18,ResNet18,42,4,Loc,0.8957871396895787,0.7495361781076066,0.8161616161616162,539
resnet18,ResNet18,42,5,Near-full,0.95,0.9047619047619048,0.926829268292683,21
resnet18,ResNet18,42,6,Random,0.8939393939393939,0.9076923076923077,0.9007633587786259,130
resnet18,ResNet18,42,7,Scratch,0.7577639751552795,0.6815642458100558,0.7176470588235294,179
resnet18,ResNet18,42,8,none,0.9870293074817109,0.9943482389112448,0.9906752556421461,22117
resnet18,ResNet18,123,0,Center,0.9605911330049262,0.9083850931677019,0.9337589784517158,644
resnet18,ResNet18,123,1,Donut,0.8387096774193549,0.9397590361445783,0.8863636363636364,83
resnet18,ResNet18,123,2,Edge-Loc,0.8674863387978142,0.8161953727506427,0.8410596026490066,778
resnet18,ResNet18,123,3,Edge-Ring,0.9868965517241379,0.9855371900826446,0.9862164024810476,1452
resnet18,ResNet18,123,4,Loc,0.8757894736842106,0.7717996289424861,0.8205128205128205,539
resnet18,ResNet18,123,5,Near-full,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
resnet18,ResNet18,123,6,Random,0.9186991869918699,0.8692307692307693,0.8932806324110671,130
resnet18,ResNet18,123,7,Scratch,0.7919463087248322,0.659217877094972,0.7195121951219512,179
resnet18,ResNet18,123,8,none,0.9866313758916154,0.9943934529999547,0.9904972077103225,22117
resnet18,ResNet18,2026,0,Center,0.9488,0.9208074534161491,0.9345941686367218,644
resnet18,ResNet18,2026,1,Donut,0.8172043010752689,0.9156626506024096,0.8636363636363636,83
resnet18,ResNet18,2026,2,Edge-Loc,0.8811188811188811,0.8097686375321337,0.8439383791024783,778
resnet18,ResNet18,2026,3,Edge-Ring,0.9814305364511692,0.9827823691460055,0.9821059876118375,1452
resnet18,ResNet18,2026,4,Loc,0.8920704845814978,0.75139146567718,0.8157099697885196,539
resnet18,ResNet18,2026,5,Near-full,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
resnet18,ResNet18,2026,6,Random,0.8478260869565217,0.9,0.8731343283582089,130
resnet18,ResNet18,2026,7,Scratch,0.8163265306122449,0.6703910614525139,0.7361963190184049,179
resnet18,ResNet18,2026,8,none,0.9864549695012559,0.9944386670886648,0.990430729741292,22117
mobilenet_v3_small,MobileNetV3-Small,42,0,Center,0.9412724306688418,0.8959627329192547,0.9180588703261734,644
mobilenet_v3_small,MobileNetV3-Small,42,1,Donut,0.8152173913043478,0.9036144578313253,0.8571428571428571,83
mobilenet_v3_small,MobileNetV3-Small,42,2,Edge-Loc,0.8441379310344828,0.7866323907455013,0.8143712574850299,778
mobilenet_v3_small,MobileNetV3-Small,42,3,Edge-Ring,0.9820193637621023,0.977961432506887,0.9799861973775017,1452
mobilenet_v3_small,MobileNetV3-Small,42,4,Loc,0.8624708624708625,0.686456400742115,0.7644628099173554,539
mobilenet_v3_small,MobileNetV3-Small,42,5,Near-full,0.875,1.0,0.9333333333333333,21
mobilenet_v3_small,MobileNetV3-Small,42,6,Random,0.9032258064516129,0.8615384615384616,0.8818897637795275,130
mobilenet_v3_small,MobileNetV3-Small,42,7,Scratch,0.6777777777777778,0.3407821229050279,0.45353159851301117,179
mobilenet_v3_small,MobileNetV3-Small,42,8,none,0.9817857142857143,0.9943482389112448,0.9880270458476537,22117
