corruption,level,level_index,metric,value_mean,value_sample_std,delta_from_clean_pp_mean,delta_from_clean_pp_sample_std
bin_flip,heavy,2,accuracy,0.9496074727929177,0.00369526370269964,-3.0734045150265303,0.3679145286133594
bin_flip,heavy,2,balanced_accuracy,0.7508553491389796,0.006749603907504742,-14.029539485262461,0.13976286198140725
bin_flip,heavy,2,macro_f1,0.7404439150599592,0.010795891903950205,-16.15848057288763,0.899283153601676
bin_flip,light,0,accuracy,0.9718870857906436,0.00021229505251075937,-0.8454432152539529,0.01821614935147774
bin_flip,light,0,balanced_accuracy,0.8953647444383943,0.0054506156094565866,0.42140004467901376,0.24080533088903033
bin_flip,light,0,macro_f1,0.8820348971353994,0.0031505046340842323,-1.9993823653436162,0.15664081009623188
bin_flip,medium,1,accuracy,0.9471790720682521,0.005285495144555173,-3.3162445874930895,0.526775554144267
bin_flip,medium,1,balanced_accuracy,0.8529532807418918,0.007843194537451293,-3.8197463249712365,0.23690952561075693
bin_flip,medium,1,macro_f1,0.814823588685003,0.009989421550721021,-8.720513210383244,0.83027225419603
clean,clean,-1,accuracy,0.9803415179431831,3.854604324865507e-05,0.0,0.0
clean,clean,-1,balanced_accuracy,0.8911507439916041,0.00551381241346641,0.0,0.0
clean,clean,-1,macro_f1,0.9020287207888354,0.001965103989333601,0.0,0.0
local_missing,heavy,2,accuracy,0.9652314689897082,3.854604324865507e-05,-1.5110048953474895,0.003854604324871058
local_missing,heavy,2,balanced_accuracy,0.7442185003369817,0.009148214527511071,-14.693224365462248,0.4785576795599636
local_missing,heavy,2,macro_f1,0.8044869822230741,0.004417351299044772,-9.75417385657614,0.44863131117416677
local_missing,light,0,accuracy,0.9786069459969934,0.0004736617094185418,-0.17345719461897188,0.04445346565421177
local_missing,light,0,balanced_accuracy,0.8724219054267914,0.012211490873189812,-1.8728838564812815,0.7480187078464183
local_missing,light,0,macro_f1,0.8919703755735183,0.006343194007369522,-1.0058345215317233,0.5009974953095255
local_missing,medium,1,accuracy,0.9734546248827559,0.00029940459719981913,-0.6886893060427298,0.027346871543766294
local_missing,medium,1,balanced_accuracy,0.833372824402491,0.008147403029443438,-5.777791958911312,0.3749967163128995
local_missing,medium,1,macro_f1,0.8649120633088486,0.00473926281145199,-3.7116657479986865,0.391155754086896
rotation,heavy,2,accuracy,0.9795192023538783,9.700541488739928e-05,-0.08223155893047156,0.005888005364267991
rotation,heavy,2,balanced_accuracy,0.8852355331329239,0.00861831301800368,-0.591521085868015,0.5588619264394373
rotation,heavy,2,macro_f1,0.8999887039928844,0.003148089849764633,-0.2040016795951042,0.31453614465321167
rotation,light,0,accuracy,0.9804186100296803,6.676370533744993e-05,0.007709208649731014,0.003854604324871058
rotation,light,0,balanced_accuracy,0.8940955549310075,0.007266700233217028,0.29448109394033156,0.2540225439651617
rotation,light,0,macro_f1,0.9035907414215721,0.0038392783613349617,0.15620206327366568,0.20314150582357768
rotation,medium,1,accuracy,0.9797504786133704,0.0002478163862055032,-0.05910393298127481,0.02566522036186734
rotation,medium,1,balanced_accuracy,0.8822384318140482,0.005271181010659624,-0.8912312177556059,0.13005293619087982
rotation,medium,1,macro_f1,0.8963397054098965,0.0012200360300148553,-0.568901537893903,0.11360711024398688
translation,heavy,2,accuracy,0.9423736653432525,0.0021073795525323505,-3.796785259993056,0.2129472661902323
translation,heavy,2,balanced_accuracy,0.680092988350726,0.009636666008502002,-21.105775564087818,1.0263911502248488
translation,heavy,2,macro_f1,0.6846262995025972,0.01522677415669828,-21.740242128623823,1.5410720935401345
translation,light,0,accuracy,0.9780030579860978,0.00021229505251075937,-0.23384599570853704,0.024480025290389763
translation,light,0,balanced_accuracy,0.8812579853173589,0.0029785823066646854,-0.9892758674245364,0.5757598085418507
translation,light,0,macro_f1,0.8939459975188643,0.0013609020158641145,-0.8082723269971318,0.3319747470254512
translation,medium,1,accuracy,0.9609914042323555,0.0009590144011582858,-1.9350113710827548,0.09728581477950543
translation,medium,1,balanced_accuracy,0.7908414617009646,0.008333421058894293,-10.030928229063962,0.4105148630930314
translation,medium,1,macro_f1,0.8072399342541329,0.0055160534351415035,-9.478878653470266,0.4553556386633258
