seed,accuracy_kang,accuracy_highres,accuracy_delta_pp_highres_minus_kang,accuracy_delta_ci_low_pp,accuracy_delta_ci_high_pp,macro_f1_kang,macro_f1_highres,macro_f1_delta_pp_highres_minus_kang,macro_f1_delta_ci_low_pp,macro_f1_delta_ci_high_pp,mcnemar_kang_only_correct,mcnemar_highres_only_correct,mcnemar_discordant_pairs,mcnemar_p_raw,macro_f1_randomization_extreme_count,macro_f1_randomization_p_raw,samples,kang_metadata_label_mismatches_tolerated,highres_metadata_label_mismatches_tolerated,mcnemar_p_holm,macro_f1_randomization_p_holm,accuracy_significant_holm_0_05,macro_f1_significant_holm_0_05
42,0.9774120186562849,0.9803800639864317,0.2968045330146829,0.1618933816443735,0.43557028870986336,0.8820887040234031,0.903497703027971,2.140899900456794,1.000706317765023,3.2408424393159754,127,204,331,2.728996315728841e-05,0,9.999000099990002e-05,25943,0,0,8.186988947186523e-05,0.00029997000299970003,True,True
123,0.9778360251320202,0.9803029718999344,0.24669467679142576,0.11949273407084737,0.37389661951201525,0.8751953887123474,0.8997964973584982,2.4601108646150838,1.3908316084733217,3.631910082965391,117,181,298,0.00024998937962468325,0,9.999000099990002e-05,25943,0,0,0.0004999787592493665,0.00029997000299970003,True,True
2026,0.9800331495971939,0.9803415179431831,0.030836834598924057,-0.10021971244651429,0.1618933816443735,0.899930992124361,0.9027919619800373,0.28609698556762986,-0.8886744461576742,1.3454720264848015,148,156,304,0.6881369169523945,6193,0.6193380661933806,25943,0,0,0.6881369169523945,0.6193380661933806,False,False
