model_id,model,training_runs,test_samples_per_run,test_accuracy_percent_mean,test_accuracy_percent_sample_std,test_macro_f1_percent_mean,test_macro_f1_percent_sample_std,test_balanced_accuracy_percent_mean,test_balanced_accuracy_percent_sample_std,parameter_count,parameters_million,state_dict_memory_mib,conv_linear_flops_million,estimated_macs_million,mps_batch1_latency_ms_mean,mps_batch1_latency_ms_sample_std,mps_batch128_samples_per_second_mean,mps_batch128_samples_per_second_sample_std
resnet18_baseline,ResNet18 Baseline,1,25943,97.8684038083,,88.8242173394,,87.4834808083,,11174857,11.1748570000,42.6654701200,283.2558080000,141.6279040000,3.0965509400,0.0420868000,6167.2532133000,158.0922635700
highres_shufflenetv2_ce,Final HighRes ShuffleNetV2 + CE (no ECA),3,25943,98.0341517943,0.0038546043,90.2028720789,0.1965103989,89.1150743992,0.5513812413,1262397,1.2623970000,4.8778114300,356.4144640000,178.2072320000,8.6286449100,0.0902919000,1146.7287502400,8.9605189800
