model_id,model,corruption,level,level_index,severity,metric,value_mean,value_sample_std,degradation_from_clean_pp_mean,degradation_from_clean_pp_sample_std,seeds,highres_value_mean,highres_degradation_from_clean_pp_mean,value_delta_vs_highres_pp,additional_degradation_vs_highres_pp
resnet18,ResNet18,translation,medium,1,5,accuracy,0.9411658893,0.00259072236,3.740251063,0.2583543577,3,0.9609914042,1.935011371,-1.982551491,1.805239692
resnet18,ResNet18,translation,medium,1,5,macro_f1,0.7091885589,0.006133025424,18.00665962,0.4902546307,3,0.8072399343,9.478878653,-9.805137537,8.527780965
resnet18,ResNet18,translation,medium,1,5,balanced_accuracy,0.7229427974,0.00317475136,15.36511249,0.272640834,3,0.7908414617,10.03092823,-6.789866426,5.33418426
standard_shufflenet_v2,Standard ShuffleNetV2,translation,heavy,2,8,accuracy,0.8949748808,0.006128982493,7.277492965,0.6251949578,3,0.9423736653,3.79678526,-4.739878451,3.480707705
standard_shufflenet_v2,Standard ShuffleNetV2,translation,heavy,2,8,macro_f1,0.4818865559,0.01310819821,32.30600503,1.283645552,3,0.6846262995,21.74024213,-20.27397436,10.5657629
standard_shufflenet_v2,Standard ShuffleNetV2,translation,heavy,2,8,balanced_accuracy,0.4958721299,0.01430452235,28.95856035,1.198495503,3,0.6800929884,21.10577556,-18.42208585,7.852784782
resnet18,ResNet18,translation,heavy,2,8,accuracy,0.9027097868,0.006916088296,7.585861311,0.6815241308,3,0.9423736653,3.79678526,-3.96638785,3.789076051
resnet18,ResNet18,translation,heavy,2,8,macro_f1,0.559305537,0.007802050481,32.9949618,0.6655623149,3,0.6846262995,21.74024213,-12.53207625,11.25471967
resnet18,ResNet18,translation,heavy,2,8,balanced_accuracy,0.6056718074,0.008810455668,27.0922115,1.006435415,3,0.6800929884,21.10577556,-7.442118099,5.986435933
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,light,0,8,accuracy,0.9658610544,0.0007286459741,0.1888756119,0.04814399259,3,0.978606946,0.1734571946,-1.274589163,0.0154184173
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,light,0,8,macro_f1,0.7903495728,0.002442301267,1.459703342,0.3753915774,3,0.8919703756,1.005834522,-10.16208028,0.45386882
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,light,0,8,balanced_accuracy,0.7585073951,0.001376141365,2.695033823,0.4012300598,3,0.8724219054,1.872883856,-11.39145103,0.8221499668
resnet18,ResNet18,local_missing,light,0,8,accuracy,0.9766154004,0.000424590105,0.1952999525,0.05643189879,3,0.978606946,0.1734571946,-0.1991545568,0.02184275784
resnet18,ResNet18,local_missing,light,0,8,macro_f1,0.8751793314,0.00249395254,1.407582369,0.4069053719,3,0.8919703756,1.005834522,-1.67910442,0.4017478479
resnet18,ResNet18,local_missing,light,0,8,balanced_accuracy,0.8515729675,0.0041940212,2.502095484,0.4194649939,3,0.8724219054,1.872883856,-2.084893794,0.6292116272
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,medium,1,16,accuracy,0.9606059438,0.0006057986218,0.7143866682,0.03497579974,3,0.9734546249,0.688689306,-1.284868108,0.02569736217
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,medium,1,16,macro_f1,0.7578230692,0.003823107459,4.712353701,0.4916416776,3,0.8649120633,3.711665748,-10.70889941,1.000687953
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,medium,1,16,balanced_accuracy,0.7092532602,0.006926988975,7.620447315,0.6125255165,3,0.8333728244,5.777791959,-12.41195642,1.842655357
resnet18,ResNet18,local_missing,medium,1,16,accuracy,0.9711804083,0.000197802931,0.7387991623,0.0364322987,3,0.9734546249,0.688689306,-0.2274216552,0.05010985622
resnet18,ResNet18,local_missing,medium,1,16,macro_f1,0.838470031,0.007357872277,5.078512404,0.5859927904,3,0.8649120633,3.711665748,-2.644203228,1.366846656
resnet18,ResNet18,local_missing,medium,1,16,balanced_accuracy,0.794686069,0.009408949114,8.190785332,1.032396402,3,0.8333728244,5.777791959,-3.86867554,2.412993373
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,heavy,2,24,accuracy,0.9523313932,0.0001459329645,1.54184173,0.04377988934,3,0.965231469,1.511004895,-1.290007581,0.0308368346
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,heavy,2,24,macro_f1,0.6820985694,0.006376969091,12.28480369,0.7535602515,3,0.8044869822,9.754173857,-12.23884129,2.530629829
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,heavy,2,24,balanced_accuracy,0.610635194,0.01031334248,17.48225394,1.296781249,3,0.7442185003,14.69322437,-13.35833064,2.789029574
resnet18,ResNet18,local_missing,heavy,2,24,accuracy,0.9614668054,0.0002994045972,1.710159452,0.03209599506,3,0.965231469,1.511004895,-0.3764663557,0.1991545568
resnet18,ResNet18,local_missing,heavy,2,24,macro_f1,0.7723464403,0.007945967913,11.69087148,0.6732964768,3,0.8044869822,9.754173857,-3.214054195,1.936697623
resnet18,ResNet18,local_missing,heavy,2,24,balanced_accuracy,0.706527137,0.0104128781,17.00667854,1.157762743,3,0.7442185003,14.69322437,-3.769136337,2.313454171
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,light,0,2,accuracy,0.9685978234,0.0005133044072,-0.08480129515,0.0154184173,3,0.98041861,-0.00770920865,-1.18207866,-0.0770920865
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,light,0,2,macro_f1,0.8062088733,0.00363573812,-0.1262267082,0.4867107197,3,0.9035907414,-0.1562020633,-9.738186813,0.02997535504
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,light,0,2,balanced_accuracy,0.7888219349,0.007285941646,-0.3364201514,0.7609225297,3,0.8940955549,-0.2944810939,-10.52736201,-0.04193905741
resnet18,ResNet18,rotation,light,0,2,accuracy,0.9787739789,0.0002225456845,-0.02055788973,0.01821614935,3,0.98041861,-0.00770920865,-0.1644631179,-0.01284868108
resnet18,ResNet18,rotation,light,0,2,macro_f1,0.8899075798,0.001275581232,-0.06524247482,0.09999041596,3,0.9035907414,-0.1562020633,-1.36831616,0.09095958846
resnet18,ResNet18,rotation,light,0,2,balanced_accuracy,0.8772583907,0.001216110739,-0.06644683277,0.1797987038,3,0.8940955549,-0.2944810939,-1.683716428,0.2280342612
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,medium,1,5,accuracy,0.9691631654,0.0004024325062,-0.1413354919,0.0197802931,3,0.9797504786,0.05910393298,-1.058731321,-0.2004394249
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,medium,1,5,macro_f1,0.8100278686,0.003811226112,-0.5081262414,0.2737234274,3,0.8963397054,0.5689015379,-8.631183678,-1.077027779
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,medium,1,5,balanced_accuracy,0.7983245527,0.001791797873,-1.286681929,0.381733107,3,0.8822384318,0.8912312178,-8.391387916,-2.177913147
resnet18,ResNet18,rotation,medium,1,5,accuracy,0.9785298539,0.0007065606437,0.003854604325,0.08610533826,3,0.9797504786,0.05910393298,-0.1220624703,-0.05524932866
resnet18,ResNet18,rotation,medium,1,5,macro_f1,0.8882772047,0.004824530318,0.09779503292,0.5946531932,3,0.8963397054,0.5689015379,-0.8062500669,-0.471106505
resnet18,ResNet18,rotation,medium,1,5,balanced_accuracy,0.8741497615,0.00575428497,0.2444160837,0.4693616859,3,0.8822384318,0.8912312178,-0.8088670324,-0.6468151341
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,heavy,2,10,accuracy,0.9680710275,0.0004263361992,-0.03212170271,0.07255808454,3,0.9795192024,0.08223155893,-1.144817484,-0.1143532616
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,heavy,2,10,macro_f1,0.8063261521,0.004594763968,-0.1379545915,0.3279068662,3,0.899988704,0.2040016796,-9.366255187,-0.3419562711
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,heavy,2,10,balanced_accuracy,0.7903081778,0.002318677228,-0.485044439,0.07304688105,3,0.8852355331,0.5915210859,-9.492735538,-1.076565525
resnet18,ResNet18,rotation,heavy,2,10,accuracy,0.9779259659,0.0002323445158,0.06424340541,0.01239081931,3,0.9795192024,0.08223155893,-0.1593236454,-0.01798815352
resnet18,ResNet18,rotation,heavy,2,10,macro_f1,0.8887977429,0.00281783314,0.04574121886,0.1645691446,3,0.899988704,0.2040016796,-1.119096111,-0.1582604607
resnet18,ResNet18,rotation,heavy,2,10,balanced_accuracy,0.8740293508,0.001654046979,0.256457151,0.06563733262,3,0.8852355331,0.5915210859,-1.120618232,-0.3350639349
