model_id,model,corruption,level,level_index,severity,metric,value_mean,value_sample_std,degradation_from_clean_pp_mean,degradation_from_clean_pp_sample_std,seeds
resnet18,ResNet18,clean,clean,-1,0,macro_f1,0.8892551551,0.001955351574,0,0,3
resnet18,ResNet18,clean,clean,-1,0,balanced_accuracy,0.8765939223,0.001523968341,0,0,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,light,0,0.01,accuracy,0.9666191265,0.0006484448152,0.1130683935,0.02623774924,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,light,0,0.01,macro_f1,0.8017690794,0.00394007871,0.3177526838,0.5215272987,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,light,0,0.01,balanced_accuracy,0.7908543979,0.003243838423,-0.5396664553,0.6143237752,3
resnet18,ResNet18,bin_flip,light,0,0.01,accuracy,0.9763584268,0.0005616799135,0.2209973146,0.06590509246,3
resnet18,ResNet18,bin_flip,light,0,0.01,macro_f1,0.8799241617,0.001239550502,0.933099336,0.2562619791,3
resnet18,ResNet18,bin_flip,light,0,0.01,balanced_accuracy,0.8737695471,0.001497697102,0.2824375198,0.2670410138,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,medium,1,0.05,accuracy,0.9433501651,0.005904510702,2.439964538,0.5585985343,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,medium,1,0.05,macro_f1,0.7480187941,0.00914467453,5.692781209,0.9572812291,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,medium,1,0.05,balanced_accuracy,0.7764115533,0.001890519835,0.9046180043,0.319063436,3
resnet18,ResNet18,bin_flip,medium,1,0.05,accuracy,0.9565457606,0.0007902722283,2.202263938,0.0874182564,3
resnet18,ResNet18,bin_flip,medium,1,0.05,macro_f1,0.8219733416,0.005372732416,6.728181344,0.7073765421,3
resnet18,ResNet18,bin_flip,medium,1,0.05,balanced_accuracy,0.8425261544,0.004871203973,3.406776793,0.6383626069,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,heavy,2,0.1,accuracy,0.9319019903,0.01487179749,3.584782022,1.453288071,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,heavy,2,0.1,macro_f1,0.6443550291,0.01242647606,16.05915771,1.345026424,3
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,heavy,2,0.1,balanced_accuracy,0.6710407306,0.02463347975,11.44170027,2.713876586,3
resnet18,ResNet18,bin_flip,heavy,2,0.1,accuracy,0.9466908222,0.002883491379,3.187757777,0.2719340712,3
resnet18,ResNet18,bin_flip,heavy,2,0.1,macro_f1,0.7160285528,0.01014442369,17.32266023,0.8706695519,3
resnet18,ResNet18,bin_flip,heavy,2,0.1,balanced_accuracy,0.7275068462,0.006768025514,14.90870762,0.6699907271,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,light,0,2,accuracy,0.963458351,0.0007444477476,0.4291459482,0.0700577208,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,light,0,2,macro_f1,0.7909875494,0.004132221939,1.395905685,0.28567681,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,light,0,2,balanced_accuracy,0.7634968524,0.007399448757,2.196088097,0.6705105782,3
resnet18,ResNet18,translation,light,0,2,accuracy,0.9755746573,0.0006266943375,0.2993742692,0.07615486008,3
resnet18,ResNet18,translation,light,0,2,macro_f1,0.8772538815,0.003837695828,1.200127355,0.2845689792,3
resnet18,ResNet18,translation,light,0,2,balanced_accuracy,0.8602405759,0.00424782508,1.63533464,0.3036277764,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,medium,1,5,accuracy,0.9279060504,0.004802709119,3.984376004,0.4600132884,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,medium,1,5,macro_f1,0.6342644926,0.004749264119,17.06821136,0.3574604334,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,medium,1,5,balanced_accuracy,0.6242441872,0.004759050842,16.12135462,0.4764661597,3
resnet18,ResNet18,translation,medium,1,5,accuracy,0.9411658893,0.00259072236,3.740251063,0.2583543577,3
resnet18,ResNet18,translation,medium,1,5,macro_f1,0.7091885589,0.006133025424,18.00665962,0.4902546307,3
resnet18,ResNet18,translation,medium,1,5,balanced_accuracy,0.7229427974,0.00317475136,15.36511249,0.272640834,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,heavy,2,8,accuracy,0.8949748808,0.006128982493,7.277492965,0.6251949578,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,heavy,2,8,macro_f1,0.4818865559,0.01310819821,32.30600503,1.283645552,3
standard_shufflenet_v2,Standard ShuffleNetV2,translation,heavy,2,8,balanced_accuracy,0.4958721299,0.01430452235,28.95856035,1.198495503,3
resnet18,ResNet18,translation,heavy,2,8,accuracy,0.9027097868,0.006916088296,7.585861311,0.6815241308,3
resnet18,ResNet18,translation,heavy,2,8,macro_f1,0.559305537,0.007802050481,32.9949618,0.6655623149,3
resnet18,ResNet18,translation,heavy,2,8,balanced_accuracy,0.6056718074,0.008810455668,27.0922115,1.006435415,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,light,0,8,accuracy,0.9658610544,0.0007286459741,0.1888756119,0.04814399259,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,light,0,8,macro_f1,0.7903495728,0.002442301267,1.459703342,0.3753915774,3
