baseline_id,baseline,accuracy_delta_pp_mean,accuracy_delta_pp_sample_std,macro_f1_delta_pp_mean,macro_f1_delta_pp_sample_std,accuracy_all_seeds_significant,macro_f1_all_seeds_significant
resnet18,ResNet18,0.17731179894383553,0.016801830719428666,1.2773565718328033,0.3892521583005568,True,False
efficientnet_b0,EfficientNet-B0,0.3006591373395466,0.03677058171441322,1.7892479380872572,0.3868295558598383,True,True
mobilenet_v3_small,MobileNetV3-Small,0.7606419201069007,0.02566522036187208,6.160295486586938,0.14588137898142955,True,True
standard_shufflenet_v2,Standard ShuffleNetV2,1.25917074612291,0.03861023320694536,9.70821145768765,0.3277858193223124,True,True
