seed,true_class,predicted_class,true_class_support,error_count,true_class_error_rate_percent,mean_error_confidence
123,Loc,Edge-Ring,539,1,0.18552876,0.87161750
123,Loc,Near-full,539,0,0.00000000,
123,Loc,Random,539,2,0.37105751,0.67497505
123,Loc,Scratch,539,10,1.85528757,0.68218802
123,Loc,none,539,84,15.58441558,0.77269917
123,Near-full,Center,21,0,0.00000000,
123,Near-full,Donut,21,0,0.00000000,
123,Near-full,Edge-Loc,21,0,0.00000000,
123,Near-full,Edge-Ring,21,0,0.00000000,
123,Near-full,Loc,21,0,0.00000000,
123,Near-full,Random,21,1,4.76190476,0.52583800
123,Near-full,Scratch,21,0,0.00000000,
123,Near-full,none,21,0,0.00000000,
123,Random,Center,130,1,0.76923077,0.34947774
123,Random,Donut,130,1,0.76923077,0.69059074
123,Random,Edge-Loc,130,3,2.30769231,0.83351769
123,Random,Edge-Ring,130,0,0.00000000,
123,Random,Loc,130,2,1.53846154,0.49057127
123,Random,Near-full,130,1,0.76923077,0.97128516
123,Random,Scratch,130,0,0.00000000,
123,Random,none,130,2,1.53846154,0.69842729
123,Scratch,Center,179,0,0.00000000,
123,Scratch,Donut,179,0,0.00000000,
123,Scratch,Edge-Loc,179,3,1.67597765,0.70476871
123,Scratch,Edge-Ring,179,0,0.00000000,
123,Scratch,Loc,179,4,2.23463687,0.70242921
123,Scratch,Near-full,179,0,0.00000000,
123,Scratch,Random,179,0,0.00000000,
123,Scratch,none,179,35,19.55307263,0.74722557
123,none,Center,22117,14,0.06329972,0.66983609
123,none,Donut,22117,2,0.00904282,0.58641285
123,none,Edge-Loc,22117,45,0.20346340,0.64382148
123,none,Edge-Ring,22117,7,0.03164986,0.70626919
123,none,Loc,22117,20,0.09042818,0.66722356
123,none,Near-full,22117,0,0.00000000,
123,none,Random,22117,5,0.02260704,0.67656014
123,none,Scratch,22117,12,0.05425691,0.71198671
2026,Center,Donut,644,3,0.46583851,0.56465559
2026,Center,Edge-Loc,644,1,0.15527950,0.65947175
2026,Center,Edge-Ring,644,0,0.00000000,
2026,Center,Loc,644,4,0.62111801,0.53627312
2026,Center,Near-full,644,0,0.00000000,
2026,Center,Random,644,0,0.00000000,
2026,Center,Scratch,644,0,0.00000000,
2026,Center,none,644,43,6.67701863,0.78918426
2026,Donut,Center,83,0,0.00000000,
2026,Donut,Edge-Loc,83,1,1.20481928,0.47266346
2026,Donut,Edge-Ring,83,2,2.40963855,0.80586508
2026,Donut,Loc,83,3,3.61445783,0.56797633
2026,Donut,Near-full,83,0,0.00000000,
2026,Donut,Random,83,3,3.61445783,0.77194772
2026,Donut,Scratch,83,0,0.00000000,
2026,Donut,none,83,1,1.20481928,0.63051915
2026,Edge-Loc,Center,778,1,0.12853470,0.38889644
2026,Edge-Loc,Donut,778,0,0.00000000,
2026,Edge-Loc,Edge-Ring,778,17,2.18508997,0.68975354
2026,Edge-Loc,Loc,778,5,0.64267352,0.68101177
2026,Edge-Loc,Near-full,778,0,0.00000000,
2026,Edge-Loc,Random,778,1,0.12853470,0.97228616
2026,Edge-Loc,Scratch,778,0,0.00000000,
2026,Edge-Loc,none,778,112,14.39588689,0.76276954
2026,Edge-Ring,Center,1452,0,0.00000000,
2026,Edge-Ring,Donut,1452,0,0.00000000,
2026,Edge-Ring,Edge-Loc,1452,14,0.96418733,0.63998251
2026,Edge-Ring,Loc,1452,0,0.00000000,
2026,Edge-Ring,Near-full,1452,0,0.00000000,
2026,Edge-Ring,Random,1452,0,0.00000000,
2026,Edge-Ring,Scratch,1452,0,0.00000000,
2026,Edge-Ring,none,1452,4,0.27548209,0.79451442
2026,Loc,Center,539,10,1.85528757,0.71267599
2026,Loc,Donut,539,10,1.85528757,0.74282527
2026,Loc,Edge-Loc,539,25,4.63821892,0.73363799
2026,Loc,Edge-Ring,539,1,0.18552876,0.87290080
2026,Loc,Near-full,539,0,0.00000000,
2026,Loc,Random,539,2,0.37105751,0.68220753
2026,Loc,Scratch,539,11,2.04081633,0.69676355
2026,Loc,none,539,85,15.76994434,0.78708055
2026,Near-full,Center,21,0,0.00000000,
2026,Near-full,Donut,21,0,0.00000000,
2026,Near-full,Edge-Loc,21,0,0.00000000,
2026,Near-full,Edge-Ring,21,0,0.00000000,
2026,Near-full,Loc,21,0,0.00000000,
2026,Near-full,Random,21,1,4.76190476,0.50203180
2026,Near-full,Scratch,21,0,0.00000000,
2026,Near-full,none,21,0,0.00000000,
2026,Random,Center,130,1,0.76923077,0.72392493
2026,Random,Donut,130,1,0.76923077,0.52909360
2026,Random,Edge-Loc,130,3,2.30769231,0.73258574
2026,Random,Edge-Ring,130,0,0.00000000,
2026,Random,Loc,130,1,0.76923077,0.39136893
2026,Random,Near-full,130,1,0.76923077,0.98757950
2026,Random,Scratch,130,0,0.00000000,
2026,Random,none,130,2,1.53846154,0.77407013
2026,Scratch,Center,179,0,0.00000000,
2026,Scratch,Donut,179,0,0.00000000,
2026,Scratch,Edge-Loc,179,4,2.23463687,0.75131408
2026,Scratch,Edge-Ring,179,1,0.55865922,0.81892260
2026,Scratch,Loc,179,3,1.67597765,0.54091305
2026,Scratch,Near-full,179,0,0.00000000,
2026,Scratch,Random,179,0,0.00000000,
2026,Scratch,none,179,30,16.75977654,0.73855375
2026,none,Center,22117,21,0.09494959,0.67448455
2026,none,Donut,22117,1,0.00452141,0.61748130
2026,none,Edge-Loc,22117,38,0.17181354,0.62660556
2026,none,Edge-Ring,22117,4,0.01808564,0.55072603
2026,none,Loc,22117,21,0.09494959,0.67220764
2026,none,Near-full,22117,0,0.00000000,
2026,none,Random,22117,3,0.01356423,0.74961827
2026,none,Scratch,22117,15,0.06782113,0.78301739
